method,query_id,repeat,latency_ms
hybrid,20,0,51.639041979797184
hybrid,74,0,42.63962502591312
dense,92,0,15.112041961401701
dense,37,0,19.617042038589716
dense,83,0,21.608209004625678
bm25,90,0,9.223542059771717
dense,87,0,13.380583957768977
hybrid,95,0,44.61550002451986
bm25,87,0,8.266958058811724
dense,84,0,22.677875007502735
dense,62,0,13.195290928706527
bm25,49,0,12.630291981622577
hybrid,21,0,33.80995895713568
bm25,12,0,3.1880420865491033
dense,82,0,26.697458932176232
bm25,61,0,9.272249997593462
dense,23,0,14.071624958887696
hybrid,57,0,59.674874995835125
hybrid,12,0,22.67512504477054
dense,56,0,15.789875062182546
bm25,28,0,12.70208298228681
hybrid,73,0,38.982124999165535
dense,16,0,15.890457900241017
bm25,31,0,12.406458030454814
dense,45,0,12.572375009767711
dense,42,0,15.429541002959013
hybrid,19,0,50.211042049340904
bm25,92,0,13.957040966488421
bm25,22,0,10.58674999512732
bm25,93,0,14.653332997113466
hybrid,65,0,48.95141697488725
hybrid,41,0,46.160749974660575
dense,74,0,14.492874965071678
bm25,16,0,5.895916023291647
dense,68,0,15.551958000287414
bm25,78,0,28.046834049746394
hybrid,89,0,38.95912505686283
hybrid,63,0,60.90004194993526
hybrid,66,0,95.37395799998194
hybrid,93,0,249.25320805050433
bm25,5,0,52.0263749640435
hybrid,84,0,152.50508289318532
dense,35,0,15.4694999800995
bm25,29,0,8.288125041872263
hybrid,32,0,51.46354204043746
dense,3,0,12.600124930031598
dense,49,0,15.233124955557287
bm25,50,0,11.958832968957722
hybrid,44,0,48.3494580257684
bm25,65,0,14.261499978601933
dense,58,0,15.530082979239523
hybrid,7,0,56.61041697021574
hybrid,83,0,60.10054191574454
bm25,8,0,13.29375000204891
hybrid,79,0,40.128541993908584
bm25,83,0,17.5675000064075
dense,38,0,13.34070903249085
dense,89,0,11.1573749454692
dense,1,0,12.442667037248611
bm25,45,0,10.077249957248569
bm25,99,0,8.233832893893123
hybrid,43,0,46.26995895523578
bm25,74,0,10.034500039182603
dense,21,0,12.352708028629422
bm25,48,0,6.685249973088503
dense,59,0,15.094334026798606
bm25,1,0,10.167583008296788
bm25,95,0,11.73395907972008
dense,67,0,11.737916036508977
dense,39,0,13.353249989449978
dense,75,0,13.755374937318265
dense,72,0,12.55874999333173
dense,33,0,11.99124997947365
bm25,43,0,12.624542112462223
hybrid,61,0,36.438166978769004
bm25,44,0,12.713749893009663
hybrid,60,0,47.255582991056144
bm25,15,0,11.730375001206994
hybrid,67,0,31.873916974291205
dense,61,0,10.800208081491292
bm25,25,0,12.211084016598761
dense,65,0,12.364291935227811
dense,25,0,12.703665997833014
hybrid,17,0,31.56400006264448
bm25,98,0,7.499750005081296
bm25,32,0,12.696541962213814
hybrid,77,0,37.14412497356534
hybrid,70,0,41.61716694943607
bm25,57,0,17.359916935674846
bm25,72,0,6.30225008353591
dense,97,0,14.584249933250248
bm25,69,0,8.418999961577356
hybrid,56,0,41.749666910618544
hybrid,59,0,41.91912501119077
hybrid,42,0,51.73595796804875
dense,19,0,13.341875048354268
hybrid,62,0,41.04304197244346
bm25,14,0,8.623500005342066
hybrid,26,0,59.34616690501571
hybrid,5,0,38.13816700130701
hybrid,18,0,38.23170799296349
dense,50,0,12.292166939005256
bm25,37,0,18.4656250057742
bm25,23,0,10.461084078997374
hybrid,99,0,34.40583299379796
dense,79,0,14.452041941694915
hybrid,29,0,33.34833402186632
hybrid,45,0,38.376874988898635
hybrid,3,0,41.652082931250334
dense,43,0,13.617624994367361
hybrid,49,0,45.400750008411705
hybrid,31,0,51.192125072702765
hybrid,28,0,47.930584056302905
hybrid,33,0,29.05458305031061
hybrid,81,0,86.55329106841236
hybrid,54,0,39.70904205925763
hybrid,90,0,36.80300002451986
bm25,7,0,18.546625040471554
bm25,88,0,6.140874931588769
dense,98,0,13.827166054397821
dense,5,0,12.284917058423162
dense,7,0,15.546125010587275
hybrid,23,0,40.152583038434386
bm25,26,0,17.210416961461306
hybrid,97,0,42.397166951559484
hybrid,15,0,43.14929200336337
bm25,66,0,11.425207951106131
bm25,35,0,9.756874991580844
hybrid,94,0,29.732708004303277
bm25,17,0,6.74087496008724
hybrid,87,0,32.72749995812774
hybrid,39,0,56.97962502017617
hybrid,92,0,53.24691708665341
dense,54,0,13.217999949119985
bm25,39,0,15.934958006255329
