method,query_id,k,recall,hit_rate,all_evidence_hit,evidence_coverage,mrr,ndcg
bm25,1,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,1,3,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,1,5,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,1,10,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,1,20,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,3,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,3,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,3,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,3,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,3,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,5,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,5,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,5,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,5,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,5,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,6,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,6,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,6,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,6,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,6,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,7,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,7,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,7,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,7,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,7,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,8,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,8,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,8,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,8,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,8,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,11,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,11,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,11,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,11,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,11,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,12,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,12,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,12,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,12,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,12,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,14,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,14,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,14,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,14,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,14,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,15,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,15,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,15,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,15,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,15,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,16,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,16,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,16,5,1.0,1.0,1.0,1.0,0.25,0.43067655807339306
bm25,16,10,1.0,1.0,1.0,1.0,0.25,0.43067655807339306
bm25,16,20,1.0,1.0,1.0,1.0,0.25,0.43067655807339306
bm25,17,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,17,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,17,5,1.0,1.0,1.0,1.0,0.2,0.38685280723454163
bm25,17,10,1.0,1.0,1.0,1.0,0.2,0.38685280723454163
bm25,17,20,1.0,1.0,1.0,1.0,0.2,0.38685280723454163
bm25,18,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,18,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,18,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,18,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,18,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,19,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,19,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,19,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,19,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,19,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,20,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,20,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,20,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,20,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,20,20,1.0,1.0,1.0,1.0,0.08333333333333333,0.27023815442731974
bm25,21,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,21,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,21,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,21,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,21,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,22,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,22,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,22,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,22,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,22,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,23,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,23,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,23,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,23,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,23,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,25,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,25,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,25,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,25,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,25,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,26,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,26,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,26,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,26,10,1.0,1.0,1.0,1.0,0.1111111111111111,0.3010299956639812
bm25,26,20,1.0,1.0,1.0,1.0,0.1111111111111111,0.3010299956639812
bm25,27,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,27,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,27,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,27,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,27,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,28,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,28,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,28,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,28,10,0.0,0.0,0.0,0.0,0.0,0.0
