passage_id,section_id,text_characters,text_words,footnote_words,title_words
1.1-c1-s1,1.1,1459,238,184,3
1.1-c1-s2,1.1,2337,398,184,3
1.2-c1-s1,1.2,1822,321,13,3
1.2-c2-s1,1.2,18,3,2,3
1.2-c2-s2,1.2,2229,386,2,3
1.2-c2-s3,1.2,680,123,2,3
1.2-c2-s4,1.2,26,5,2,3
1.2.1-c1-s1,1.2.1,2047,361,0,4
1.2.1-c2-s1,1.2.1,731,126,0,5
1.2.1-c3-s1,1.2.1,1113,207,0,3
1.2.1-c4-s1,1.2.1,440,79,0,5
1.3-c1-s1,1.3,1314,232,0,4
1.3.1-c1-s1,1.3.1,1348,245,0,5
1.4-c1-s1,1.4,1514,288,0,7
1.4-c2-s1,1.4,1375,263,0,5
1.4-c2-s2,1.4,561,95,0,5
1.4-c2-s3,1.4,1469,283,0,5
1.4-c3-s1,1.4,762,144,0,5
1.4.1-c1-s1,1.4.1,758,145,0,8
1.4.1-c2-s1,1.4.1,1519,272,51,7
1.4.1-c2-s2,1.4.1,1741,330,51,7
1.5-c1-s1,1.5,1161,204,52,6
1.5-c1-s2,1.5,2005,351,52,6
1.5-c1-s3,1.5,166,31,52,6
1.5-c1-s4,1.5,1360,258,52,6
1.5-c2-s1,1.5,1410,249,0,3
1.5-c3-s1,1.5,1816,332,0,3
1.5-c4-s1,1.5,1458,255,0,5
1.5-c5-s1,1.5,1657,299,0,4
1.5-c6-s1,1.5,1467,265,0,4
1.5-c7-s1,1.5,22,3,0,3
1.5-c7-s2,1.5,1519,277,0,3
1.5-c7-s3,1.5,1946,341,0,3
1.5-c8-s1,1.5,1831,329,0,6
1.5.1-c1-s1,1.5.1,51,9,36,8
1.5.1-c1-s2,1.5.1,2171,396,36,8
1.5.1-c1-s3,1.5.1,499,81,36,8
1.5.1-c2-s1,1.5.1,684,120,0,5
1.5.1-c3-s1,1.5.1,2477,424,35,4
1.5.1-c3-s2,1.5.1,1043,187,35,4
1.5.1-c4-s1,1.5.1,1343,227,0,5
1.5.1-c5-s1,1.5.1,2491,436,0,6
1.5.1-c5-s2,1.5.1,1069,194,0,6
1.5.1-c6-s1,1.5.1,424,71,0,6
1.6-c1-s1,1.6,25,4,18,3
1.6-c1-s2,1.6,1763,326,18,3
1.6-c1-s3,1.6,1371,227,18,3
1.6-c1-s4,1.6,28,5,18,3
1.6.1-c1-s1,1.6.1,2335,408,0,4
1.7-c1-s1,1.7,712,130,0,6
1.7-c2-s1,1.7,934,169,27,4
1.7-c2-s2,1.7,972,190,27,4
1.7-c2-s3,1.7,1484,271,27,4
1.7-c2-s4,1.7,1446,254,27,4
1.7-c2-s5,1.7,1680,290,27,4
1.7-c3-s1,1.7,1714,312,0,4
1.7-c3-s2,1.7,1679,307,0,4
1.7-c3-s3,1.7,1265,213,0,4
1.7-c3-s4,1.7,39,6,0,4
1.7-c3-s5,1.7,1932,329,0,4
1.7-c3-s6,1.7,681,123,0,4
1.7-c4-s1,1.7,39,6,62,4
1.7-c4-s2,1.7,1845,338,62,4
1.7-c4-s3,1.7,1164,202,62,4
1.7-c4-s4,1.7,1293,226,62,4
1.7-c4-s5,1.7,1629,291,62,4
1.7-c4-s6,1.7,704,124,62,4
1.7-c4-s7,1.7,1684,299,62,4
1.7-c4-s8,1.7,777,135,62,4
1.7-c4-s9,1.7,2190,389,62,4
1.7-c4-s10,1.7,1428,253,62,4
1.7-c4-s11,1.7,1651,296,62,4
1.7-c4-s12,1.7,78,12,62,4
1.7-c4-s13,1.7,2118,385,62,4
1.7-c4-s14,1.7,916,161,62,4
1.7-c4-s15,1.7,17,3,62,4
1.7-c4-s16,1.7,1960,345,62,4
1.7-c4-s17,1.7,100,15,62,4
1.7-c4-s18,1.7,1221,221,62,4
1.7-c4-s19,1.7,1953,336,62,4
1.7-c4-s20,1.7,1802,317,62,4
1.7-c4-s21,1.7,677,119,62,4
1.7-c4-s22,1.7,1381,244,62,4
1.7.1-c1-s1,1.7.1,2391,405,0,7
1.7.1-c1-s2,1.7.1,471,87,0,7
1.8-c1-s1,1.8,1749,319,54,3
1.8-c2-s1,1.8,1182,233,127,3
1.8-c2-s2,1.8,904,181,127,3
1.8-c2-s3,1.8,1463,268,127,3
1.8-c2-s4,1.8,1789,288,127,3
1.8-c3-s1,1.8,818,134,0,3
1.8.1-c1-s1,1.8.1,1117,186,0,6
1.8.2-c1-s1,1.8.2,1201,205,0,6
1.9-c1-s1,1.9,1270,214,0,3
1.9.1-c1-s1,1.9.1,1915,323,0,4
1.10-c1-s1,1.10,49,8,69,3
1.10-c1-s2,1.10,2223,386,69,3
1.10-c1-s3,1.10,2195,390,69,3
1.10-c1-s4,1.10,650,113,69,3
1.10-c2-s1,1.10,1729,302,30,3
1.10-c2-s2,1.10,1218,224,30,3
1.10-c2-s3,1.10,1071,192,30,3
1.10-c2-s4,1.10,1498,287,30,3
1.10-c2-s5,1.10,1967,342,30,3
1.10-c3-s1,1.10,557,96,0,2
1.10.1-c1-s1,1.10.1,520,89,19,4
1.10.1-c2-s1,1.10.1,892,166,0,4
1.10.1-c3-s1,1.10.1,377,66,0,5
1.10.1-c4-s1,1.10.1,1328,261,0,3
1.10.1-c5-s1,1.10.1,206,35,0,3
1.11-c1-s1,1.11,160,20,0,4
1.11-c2-s1,1.11,712,136,0,2
1.11-c3-s1,1.11,1519,272,51,7
1.11-c3-s2,1.11,1714,325,51,7
1.11-c4-s1,1.11,2149,395,26,4
1.11-c4-s2,1.11,494,81,26,4
1.11-c5-s1,1.11,680,121,0,5
1.11-c6-s1,1.11,2474,424,34,4
1.11-c6-s2,1.11,1043,187,34,4
1.11-c7-s1,1.11,1346,227,0,5
1.11-c8-s1,1.11,2488,435,0,6
1.11-c8-s2,1.11,1069,194,0,6
1.11-c8-s3,1.11,424,71,0,6
1.11-c9-s1,1.11,2290,401,0,3
1.11-c10-s1,1.11,2378,403,0,6
1.11-c10-s2,1.11,444,82,0,6
1.11-c11-s1,1.11,1152,191,0,6
1.11-c12-s1,1.11,1243,210,0,6
1.11-c13-s1,1.11,1783,300,0,3
1.11-c14-s1,1.11,1783,319,19,3
1.11-c15-s1,1.11,1537,296,0,3
2.1-c1-s1,2.1,1384,241,67,2
2.1-c2-s1,2.1,1668,308,0,7
2.1-c2-s2,2.1,844,146,0,7
2.1-c3-s1,2.1,467,88,0,9
2.1-c4-s1,2.1,670,123,0,5
2.1-c5-s1,2.1,795,138,13,4
2.1-c6-s1,2.1,1569,297,0,7
2.1.1-c1-s1,2.1.1,1913,308,18,3
2.2-c1-s1,2.2,1948,332,0,6
2.2-c2-s1,2.2,1041,196,0,10
2.2-c3-s1,2.2,294,49,0,6
2.2-c4-s1,2.2,76,14,0,11
2.2-c4-s2,2.2,1589,288,0,11
2.2-c4-s3,2.2,2036,360,0,11
2.2-c4-s4,2.2,61,7,0,11
2.2-c4-s5,2.2,1897,329,0,11
2.2-c4-s6,2.2,1884,334,0,11
2.2-c4-s7,2.2,1371,239,0,11
2.2-c4-s8,2.2,1179,210,0,11
2.2-c4-s9,2.2,1830,326,0,11
2.2-c4-s10,2.2,835,150,0,11
2.2-c4-s11,2.2,51,8,0,11
2.2-c4-s12,2.2,2023,359,0,11
2.2-c4-s13,2.2,666,112,0,11
2.2-c4-s14,2.2,66,10,0,11
2.2-c4-s15,2.2,1384,253,0,11
2.2-c4-s16,2.2,886,157,0,11
2.2-c4-s17,2.2,1842,314,0,11
2.2-c5-s1,2.2,1499,248,0,3
2.2.1-c1-s1,2.2.1,477,77,0,8
2.2.2-c1-s1,2.2.2,1420,253,0,7
2.2.3-c1-s1,2.2.3,1035,186,0,6
2.3.1-c1-s1,2.3.1,881,139,93,3
2.3.1-c1-s2,2.3.1,1826,315,93,3
2.3.1-c1-s3,2.3.1,1339,217,93,3
2.3.1-c2-s1,2.3.1,1150,185,0,5
2.3.1-c3-s1,2.3.1,2483,408,13,8
2.3.1.1-c1-s1,2.3.1.1,927,149,0,4
2.3.1.2-c1-s1,2.3.1.2,678,106,0,6
2.3.2-c1-s1,2.3.2,724,115,68,3
2.3.2-c2-s1,2.3.2,1321,214,0,5
2.3.2.1-c1-s1,2.3.2.1,1450,236,0,4
2.3.3-c1-s1,2.3.3,990,156,0,3
2.3.3-c2-s1,2.3.3,1569,263,74,4
2.3.3-c2-s2,2.3.3,1298,226,74,4
2.3.3-c2-s3,2.3.3,1657,296,74,4
2.3.3-c2-s4,2.3.3,1996,344,74,4
2.3.3-c3-s1,2.3.3,1105,189,47,5
2.3.3-c3-s2,2.3.3,1561,269,47,5
2.3.3-c3-s3,2.3.3,1448,243,47,5
2.3.3-c4-s1,2.3.3,1286,204,12,5
2.3.3.1-c1-s1,2.3.3.1,1333,214,0,5
2.3.3.2-c1-s1,2.3.3.2,993,176,0,5
2.3.3.3-c1-s1,2.3.3.3,608,104,0,5
2.3.4-c1-s1,2.3.4,1628,279,0,4
2.3.4.1-c1-s1,2.3.4.1,1032,187,0,5
2.4-c1-s1,2.4,926,145,0,3
2.4-c1-s2,2.4,2124,363,0,3
2.4-c1-s3,2.4,511,93,0,3
2.4-c1-s4,2.4,404,64,0,3
2.4.1-c1-s1,2.4.1,1625,288,0,4
2.5-c1-s1,2.5,1681,281,0,8
2.5-c1-s2,2.5,1274,219,0,8
2.5-c2-s1,2.5,965,163,0,7
2.5.1-c1-s1,2.5.1,2135,354,0,11
2.5.1-c1-s2,2.5.1,319,48,0,11
2.5.2-c1-s1,2.5.2,2183,395,0,10
2.5.2-c1-s2,2.5.2,953,172,0,10
2.5.2-c1-s3,2.5.2,754,132,0,10
3.1-c1-s1,3.1,2140,343,0,7
3.1-c2-s1,3.1,1013,172,65,4
3.1-c2-s2,3.1,2426,401,65,4
3.1-c2-s3,3.1,1788,299,65,4
3.1-c2-s4,3.1,55,8,65,4
3.1-c2-s5,3.1,2326,391,65,4
3.1-c2-s6,3.1,333,59,65,4
3.1-c2-s7,3.1,799,138,65,4
3.1-c2-s8,3.1,1743,304,65,4
3.1-c2-s9,3.1,1882,343,65,4
3.1-c2-s10,3.1,1693,304,65,4
3.1-c3-s1,3.1,1852,304,0,7
3.1-c3-s2,3.1,1704,281,0,7
3.1-c3-s3,3.1,1903,330,0,7
3.2-c1-s1,3.2,34,6,0,5
3.2-c1-s2,3.2,1611,304,0,5
3.2-c1-s3,3.2,1815,312,0,5
3.2-c1-s4,3.2,30,5,0,5
3.2.1-c1-s1,3.2.1,1561,283,0,6
3.3.1-c1-s1,3.3.1,1106,208,23,10
3.3.1-c2-s1,3.3.1,966,190,0,8
3.3.1-c3-s1,3.3.1,428,78,0,7
3.4.1-c1-s1,3.4.1,1781,303,63,12
3.4.1-c2-s1,3.4.1,1330,237,135,11
3.5.1-c1-s1,3.5.1,2453,431,0,8
3.5.1-c1-s2,3.5.1,151,25,0,8
3.5.1-c1-s3,3.5.1,518,77,0,8
3.6-c1-s1,3.6,1402,242,79,5
3.6-c2-s1,3.6,1263,209,0,5
3.6-c3-s1,3.6,1367,235,0,5
3.6-c3-s2,3.6,1577,274,0,5
