query_id,split,split_id
1,test,legal-rag-a-sha256-gold-group-20pct-v1
2,test,legal-rag-a-sha256-gold-group-20pct-v1
3,dev,legal-rag-a-sha256-gold-group-20pct-v1
4,test,legal-rag-a-sha256-gold-group-20pct-v1
5,test,legal-rag-a-sha256-gold-group-20pct-v1
6,test,legal-rag-a-sha256-gold-group-20pct-v1
7,test,legal-rag-a-sha256-gold-group-20pct-v1
8,test,legal-rag-a-sha256-gold-group-20pct-v1
9,test,legal-rag-a-sha256-gold-group-20pct-v1
10,dev,legal-rag-a-sha256-gold-group-20pct-v1
11,test,legal-rag-a-sha256-gold-group-20pct-v1
12,test,legal-rag-a-sha256-gold-group-20pct-v1
13,test,legal-rag-a-sha256-gold-group-20pct-v1
14,test,legal-rag-a-sha256-gold-group-20pct-v1
15,test,legal-rag-a-sha256-gold-group-20pct-v1
16,test,legal-rag-a-sha256-gold-group-20pct-v1
17,test,legal-rag-a-sha256-gold-group-20pct-v1
18,test,legal-rag-a-sha256-gold-group-20pct-v1
19,test,legal-rag-a-sha256-gold-group-20pct-v1
20,test,legal-rag-a-sha256-gold-group-20pct-v1
21,test,legal-rag-a-sha256-gold-group-20pct-v1
22,test,legal-rag-a-sha256-gold-group-20pct-v1
23,test,legal-rag-a-sha256-gold-group-20pct-v1
24,test,legal-rag-a-sha256-gold-group-20pct-v1
25,dev,legal-rag-a-sha256-gold-group-20pct-v1
26,test,legal-rag-a-sha256-gold-group-20pct-v1
27,test,legal-rag-a-sha256-gold-group-20pct-v1
28,test,legal-rag-a-sha256-gold-group-20pct-v1
29,test,legal-rag-a-sha256-gold-group-20pct-v1
30,test,legal-rag-a-sha256-gold-group-20pct-v1
31,test,legal-rag-a-sha256-gold-group-20pct-v1
32,test,legal-rag-a-sha256-gold-group-20pct-v1
33,test,legal-rag-a-sha256-gold-group-20pct-v1
34,test,legal-rag-a-sha256-gold-group-20pct-v1
35,test,legal-rag-a-sha256-gold-group-20pct-v1
36,test,legal-rag-a-sha256-gold-group-20pct-v1
37,test,legal-rag-a-sha256-gold-group-20pct-v1
38,test,legal-rag-a-sha256-gold-group-20pct-v1
39,dev,legal-rag-a-sha256-gold-group-20pct-v1
40,dev,legal-rag-a-sha256-gold-group-20pct-v1
41,test,legal-rag-a-sha256-gold-group-20pct-v1
42,test,legal-rag-a-sha256-gold-group-20pct-v1
43,dev,legal-rag-a-sha256-gold-group-20pct-v1
44,test,legal-rag-a-sha256-gold-group-20pct-v1
45,test,legal-rag-a-sha256-gold-group-20pct-v1
46,test,legal-rag-a-sha256-gold-group-20pct-v1
47,test,legal-rag-a-sha256-gold-group-20pct-v1
48,dev,legal-rag-a-sha256-gold-group-20pct-v1
49,test,legal-rag-a-sha256-gold-group-20pct-v1
50,test,legal-rag-a-sha256-gold-group-20pct-v1
51,test,legal-rag-a-sha256-gold-group-20pct-v1
52,test,legal-rag-a-sha256-gold-group-20pct-v1
53,test,legal-rag-a-sha256-gold-group-20pct-v1
54,test,legal-rag-a-sha256-gold-group-20pct-v1
55,test,legal-rag-a-sha256-gold-group-20pct-v1
56,dev,legal-rag-a-sha256-gold-group-20pct-v1
57,dev,legal-rag-a-sha256-gold-group-20pct-v1
58,dev,legal-rag-a-sha256-gold-group-20pct-v1
59,test,legal-rag-a-sha256-gold-group-20pct-v1
60,test,legal-rag-a-sha256-gold-group-20pct-v1
61,test,legal-rag-a-sha256-gold-group-20pct-v1
62,test,legal-rag-a-sha256-gold-group-20pct-v1
63,test,legal-rag-a-sha256-gold-group-20pct-v1
64,test,legal-rag-a-sha256-gold-group-20pct-v1
65,test,legal-rag-a-sha256-gold-group-20pct-v1
66,test,legal-rag-a-sha256-gold-group-20pct-v1
67,test,legal-rag-a-sha256-gold-group-20pct-v1
68,test,legal-rag-a-sha256-gold-group-20pct-v1
69,test,legal-rag-a-sha256-gold-group-20pct-v1
70,test,legal-rag-a-sha256-gold-group-20pct-v1
71,test,legal-rag-a-sha256-gold-group-20pct-v1
72,test,legal-rag-a-sha256-gold-group-20pct-v1
73,test,legal-rag-a-sha256-gold-group-20pct-v1
74,test,legal-rag-a-sha256-gold-group-20pct-v1
75,test,legal-rag-a-sha256-gold-group-20pct-v1
76,test,legal-rag-a-sha256-gold-group-20pct-v1
77,test,legal-rag-a-sha256-gold-group-20pct-v1
78,dev,legal-rag-a-sha256-gold-group-20pct-v1
79,test,legal-rag-a-sha256-gold-group-20pct-v1
80,dev,legal-rag-a-sha256-gold-group-20pct-v1
81,test,legal-rag-a-sha256-gold-group-20pct-v1
82,dev,legal-rag-a-sha256-gold-group-20pct-v1
83,test,legal-rag-a-sha256-gold-group-20pct-v1
84,test,legal-rag-a-sha256-gold-group-20pct-v1
85,test,legal-rag-a-sha256-gold-group-20pct-v1
86,test,legal-rag-a-sha256-gold-group-20pct-v1
87,test,legal-rag-a-sha256-gold-group-20pct-v1
88,test,legal-rag-a-sha256-gold-group-20pct-v1
89,dev,legal-rag-a-sha256-gold-group-20pct-v1
90,dev,legal-rag-a-sha256-gold-group-20pct-v1
91,dev,legal-rag-a-sha256-gold-group-20pct-v1
92,test,legal-rag-a-sha256-gold-group-20pct-v1
93,test,legal-rag-a-sha256-gold-group-20pct-v1
94,dev,legal-rag-a-sha256-gold-group-20pct-v1
95,dev,legal-rag-a-sha256-gold-group-20pct-v1
96,test,legal-rag-a-sha256-gold-group-20pct-v1
97,dev,legal-rag-a-sha256-gold-group-20pct-v1
98,dev,legal-rag-a-sha256-gold-group-20pct-v1
99,test,legal-rag-a-sha256-gold-group-20pct-v1
100,test,legal-rag-a-sha256-gold-group-20pct-v1
