section_id,n_passages,text_words,text_characters
1.1,2,636,3796
1.2,5,838,4775
1.2.1,4,773,4331
1.3,1,232,1314
1.3.1,1,245,1348
1.4,5,1073,5681
1.4.1,3,747,4018
1.5,13,3194,17818
1.5.1,10,2145,12252
1.6,4,562,3187
1.6.1,1,408,2335
1.7,34,7311,41165
1.7.1,2,492,2862
1.8,6,1423,7905
1.8.1,1,186,1117
1.8.2,1,205,1201
1.9,1,214,1270
1.9.1,1,323,1915
1.10,10,2340,13157
1.10.1,5,617,3323
1.11,21,5090,28882
2.1,7,1341,7397
2.1.1,1,308,1913
2.2,21,4295,24458
2.2.1,1,77,477
2.2.2,1,253,1420
2.2.3,1,186,1035
2.3.1,5,1264,7679
2.3.1.1,1,149,927
2.3.1.2,1,106,678
2.3.2,2,329,2045
2.3.2.1,1,236,1450
2.3.3,9,2190,12910
2.3.3.1,1,214,1333
2.3.3.2,1,176,993
2.3.3.3,1,104,608
2.3.4,1,279,1628
2.3.4.1,1,187,1032
2.4,4,665,3965
2.4.1,1,288,1625
2.5,3,663,3920
2.5.1,2,402,2454
2.5.2,3,699,3890
3.1,14,3677,21657
3.2,4,627,3490
3.2.1,1,283,1561
3.3.1,3,476,2500
3.4.1,2,540,3111
3.5.1,3,533,3122
3.6,22,4877,28273
3.6.1,2,495,2870
3.6.2,1,121,766
3.7.1,2,428,2498
3.7.2,1,181,1035
3.7.3,1,288,1701
3.8.1,1,307,1796
3.8.2,1,400,2286
3.9,35,6821,38485
3.9.1,1,262,1463
3.10,23,5007,28239
3.11,10,1865,10462
3.11.1,1,279,1587
3.11.2,1,255,1616
3.11.3,1,306,1873
3.11.4,1,315,1851
3.12,2,612,3427
3.12.1,1,148,821
3.12.2,1,140,806
3.12.3,1,161,963
3.12.4,1,165,999
3.13,9,1916,11085
3.13.1,1,429,2362
3.13.2,1,166,879
3.14.1,2,493,3069
3.14.2,1,232,1423
3.15.1,3,323,1770
3.16,24,5625,32497
4.1,13,2892,16714
4.1.1,1,344,2032
4.1.2,1,174,970
4.2,10,1955,11617
4.2.1,1,360,2276
4.3,13,2950,16684
4.3.1,2,536,3097
4.3.2,3,609,3507
4.3.3,1,212,1225
4.4,15,3995,22743
4.4.1,1,164,979
4.4.2,1,158,897
4.5,20,3744,20974
4.5.1,3,791,4893
4.5.2,2,455,2687
4.6,44,9558,54787
4.6.1,3,612,3682
4.6.2,2,384,2502
4.6.3,1,243,1535
4.6.4,2,435,2472
4.7,1,242,1541
4.8,4,735,4370
4.8.1,8,2126,12781
4.8.2,2,497,3138
4.8.3,10,1986,11437
4.8.4,5,703,4262
4.9,10,2670,15418
4.9.1,1,228,1356
4.9.2,1,149,891
4.10,13,3072,17640
4.10.1,1,333,1871
4.11,35,7501,42437
4.11.1,3,773,4789
4.11.2,1,155,965
4.12,48,11424,67557
4.12.1,8,2240,14165
4.12.2,3,886,5483
4.12.3,1,133,833
4.12.4,1,144,864
4.12.5,1,110,639
4.13.1,20,4526,26605
4.13.1.1,1,352,2363
4.13.1.2,2,465,2976
4.13.1.3,1,279,1696
4.13.2,11,2750,15766
4.13.2.1,2,484,3118
4.13.3,6,955,5691
4.13.3.1,2,376,2346
4.13.4,7,755,4300
4.13.4.1,2,454,2951
4.13.4.2,3,573,3653
4.13.4.3,2,585,3690
4.14,25,5799,34219
4.14.1,3,582,3451
