query_index,query_id
2509,1b9cfbba
5337,5f023cfc
3812,87050d6b
2664,9bf45e00
2557,89e59397
4380,282899e9
889,04c42c12
1854,37aeeb81
950,0cabbc69
4019,9ea8a960
1049,ac86c7ac
2825,a3867f97
2440,d997c703
4611,15cec13e
2118,e168a53b
3902,c29598cf
4737,b70089f0
1147,fa5d42f3
4989,a0e7d855
5470,2f48a322
1291,2569235d
5213,490aa0ad
5035,9cb6b73f
727,fdd209b4
933,cb08b8b0
4702,a9974d90
4502,ee46d84d
1098,a9fc34f6
4280,0692fb7d
807,3f027eca
1378,7a265fc1
3132,c0facf59
3987,3cad3793
2964,3734e04b
3079,98d4acee
1655,e5f24898
5127,f56cac42
4393,982dfb3f
3624,a957a253
4360,c7501d0a
529,9187a173
4796,b760dd60
3106,753c9178
2234,e68c8ab2
2516,8387845b
2726,7adaeced
3594,46b3e570
387,5d774c3a
4253,5bec8125
1302,bbbd142b
3664,7dd107bd
5117,e5cf3a2c
3867,c6b6a725
2094,23d596ce
2539,63fff84a
2654,ea494e3f
5196,7e6ca9c1
2894,dd2a87f8
4116,94da7528
4199,93167112
2285,f7b112b0
2098,032ab4b7
4312,c3f1f26a
438,8d5bd7a4
3640,80d514c3
3896,588044e1
4648,013b2cfe
489,752304f8
1569,314bc5b6
568,c809b4ae
5464,4b1c1381
4261,5d752537
255,70130d76
4799,8b613b2b
3948,db0b8e5e
2501,148300cd
4831,a329042d
1123,0efabecc
2070,dd5d7631
363,16251dba
538,8a3c3587
2820,a68b8600
5451,e8aeec39
2473,b1733311
1787,e8f77803
4576,13ec0e25
3573,e8161744
3829,cfd76afd
2690,7ee20504
4374,aaa9813e
2350,af3b122c
2013,1464730f
4209,9cb3d2fa
746,3917a1e4
3898,ca1f1392
1881,4d181fb3
507,3521fdb1
3216,53892ff4
2549,decc4505
4734,7b3704b4
