method,sample_index,repeat,latency_ms,returned
d_mmr_1.0_10,34,1,17.507000011391938,5
Hybrid,32,1,34.436199930496514,5
Hybrid,28,2,38.192100008018315,5
Hybrid,83,0,36.362500046379864,5
Hybrid,99,0,36.9955999776721,5
d_threshold_0.3,71,0,20.599400042556226,5
d_mmr_1.0_10,55,0,15.641699894331396,5
BM25,44,2,16.653700033202767,5
d_threshold_0.3,72,1,22.579899989068508,5
d_threshold_0.3,88,0,22.62140007223934,5
BM25,71,0,17.2794999089092,5
d_threshold_0.3,93,2,19.079299992881715,5
d_dense_control,63,0,17.656699987128377,5
d_dense_control,53,1,19.0237999195233,5
Hybrid,70,0,36.0731000546366,5
Hybrid,48,0,39.96449999976903,5
d_dense_control,35,0,21.06529998127371,5
d_threshold_0.3,35,2,19.18850000947714,5
d_dense_control,61,2,22.8967999573797,5
d_dense_control,10,2,17.685199971310794,5
d_mmr_1.0_10,75,0,22.166699985973537,5
Hybrid,83,1,38.38829998858273,5
BM25,22,2,17.675000010058284,5
d_mmr_1.0_10,49,2,20.81230003386736,5
Hybrid,86,0,36.851199925877154,5
d_dense_control,54,0,24.533000076189637,5
d_mmr_1.0_10,29,2,19.35399998910725,5
d_dense_control,13,1,18.890300067141652,5
BM25,44,1,16.07420004438609,5
Hybrid,5,0,34.246600000187755,5
Hybrid,15,1,38.741800002753735,5
Hybrid,24,1,35.455700010061264,5
BM25,98,0,16.69790002051741,5
d_mmr_1.0_10,80,1,17.458599992096424,5
Hybrid,75,1,38.28660002909601,5
d_mmr_1.0_10,4,0,18.927900004200637,5
d_threshold_0.3,54,0,21.714900038205087,5
Hybrid,27,2,34.799200017005205,5
d_threshold_0.3,60,2,18.432300072163343,5
d_dense_control,33,2,18.138800049200654,5
Hybrid,35,0,35.5986999347806,5
d_dense_control,92,0,21.791800041683018,5
d_mmr_1.0_10,69,2,18.83890002500266,5
Hybrid,44,2,35.46379995532334,5
d_threshold_0.3,36,0,17.713199951685965,5
d_threshold_0.3,89,1,17.049700021743774,5
Hybrid,30,1,34.16589996777475,5
BM25,99,0,17.251999932341278,5
BM25,52,1,17.379699973389506,5
d_threshold_0.3,11,0,18.753099953755736,5
d_threshold_0.3,74,0,16.54650003183633,5
d_dense_control,93,0,18.41930008959025,5
BM25,60,2,18.036400084383786,5
d_mmr_1.0_10,52,1,17.393800080753863,5
Hybrid,71,0,38.13710005488247,5
d_mmr_1.0_10,9,2,17.73770002182573,5
Hybrid,24,2,35.36870004609227,5
d_threshold_0.3,80,1,18.233499955385923,5
Hybrid,2,1,34.431800013408065,5
d_threshold_0.3,9,0,16.366600058972836,5
Hybrid,63,2,34.22789997421205,5
d_mmr_1.0_10,39,2,20.929999998770654,5
d_dense_control,40,2,22.63300004415214,5
d_mmr_1.0_10,67,0,17.295100027695298,5
BM25,32,2,18.619799986481667,5
d_dense_control,27,1,18.455700017511845,5
d_dense_control,0,2,18.32139992620796,5
d_threshold_0.3,87,1,17.978499992750585,5
BM25,44,0,18.14079994801432,5
d_dense_control,2,2,19.66819993685931,5
d_mmr_1.0_10,43,2,19.802100025117397,5
d_dense_control,81,2,19.504299969412386,5
Hybrid,82,1,38.39889995288104,5
Hybrid,19,2,41.42349993344396,5
d_threshold_0.3,56,0,20.142000052146614,5
Hybrid,47,0,33.67680008523166,5
Hybrid,18,0,38.68170001078397,5
d_threshold_0.3,25,2,21.37490001041442,5
d_mmr_1.0_10,52,2,14.868900063447654,5
d_threshold_0.3,16,2,22.42860000114888,5
d_dense_control,60,0,18.35250004660338,5
Hybrid,22,2,41.143300011754036,5
d_mmr_1.0_10,90,0,17.263400019146502,5
d_mmr_1.0_10,89,0,17.55410002078861,5
d_dense_control,51,1,19.725299905985594,5
d_threshold_0.3,67,1,19.25909996498376,5
d_mmr_1.0_10,31,1,20.65800002310425,5
Hybrid,33,1,33.98469998501241,5
d_threshold_0.3,20,1,17.09060010034591,5
Hybrid,73,1,35.05240008234978,5
d_mmr_1.0_10,18,0,21.892599994316697,5
d_mmr_1.0_10,10,0,17.154700006358325,5
Hybrid,17,2,38.9259000075981,5
d_dense_control,5,1,16.80539990775287,5
d_threshold_0.3,30,0,19.190100021660328,5
d_threshold_0.3,31,0,20.97949991002679,5
BM25,81,0,16.871700063347816,5
d_dense_control,25,0,18.817200092598796,5
Hybrid,15,2,38.654300034977496,5
d_dense_control,64,1,18.737099948339164,5
d_mmr_1.0_10,9,0,16.859599971212447,5
BM25,64,0,15.707000042311847,5
BM25,71,1,19.74560006055981,5
d_mmr_1.0_10,38,1,19.50079994276166,5
d_mmr_1.0_10,37,0,17.22039992455393,5
Hybrid,64,0,35.64160002861172,5
