held_out_fold,dense_weight,tuning_n,tuning_recall_at_5,tuning_ndcg_at_5,selected
0,0.25,84,0.39285714285714285,0.30371921108055633,False
0,0.5,84,0.40476190476190477,0.29485470577957995,True
0,0.75,84,0.30952380952380953,0.2229323870241236,False
1,0.25,81,0.37037037037037035,0.27423045587981226,True
1,0.5,81,0.37037037037037035,0.26535913174093373,False
1,0.75,81,0.30864197530864196,0.2290316914273589,False
2,0.25,78,0.34615384615384615,0.2574581688806838,False
2,0.5,78,0.3717948717948718,0.26121802595859417,True
2,0.75,78,0.3076923076923077,0.21604248474510265,False
3,0.25,74,0.32432432432432434,0.27048651194600104,True
3,0.5,74,0.3108108108108108,0.25747767138402705,False
3,0.75,74,0.25675675675675674,0.18905352289150298,False
4,0.25,83,0.3614457831325301,0.2741030629352267,False
4,0.5,83,0.3855421686746988,0.2816981021475925,True
4,0.75,83,0.3132530120481928,0.22719578630840773,False
