k,n_queries,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,ndcg_at_k,method,latency_ms_per_query,evaluation
1,100,0.17,0.17,0.17,0.17,0.17,BM25 k1=1.2 b=0.75,0.21643752000045424,official_test
3,100,0.09666666666666666,0.29,0.29,0.225,0.2417836778214312,BM25 k1=1.2 b=0.75,0.21643752000045424,official_test
5,100,0.062,0.31,0.31,0.22949999999999998,0.24995897147451054,BM25 k1=1.2 b=0.75,0.21643752000045424,official_test
10,100,0.037,0.37,0.37,0.2378015873015873,0.2696507301031563,BM25 k1=1.2 b=0.75,0.21643752000045424,official_test
1,100,0.08,0.08,0.08,0.08,0.08,Dense all-MiniLM-L6-v2,10.944708840000885,official_test
3,100,0.08,0.24,0.24,0.15,0.17309297535714577,Dense all-MiniLM-L6-v2,10.944708840000885,official_test
5,100,0.057999999999999996,0.29,0.29,0.16099999999999998,0.19331209073564984,Dense all-MiniLM-L6-v2,10.944708840000885,official_test
10,100,0.037,0.37,0.37,0.17124603174603173,0.21876137498556983,Dense all-MiniLM-L6-v2,10.944708840000885,official_test
1,100,0.19,0.19,0.19,0.19,0.19,Hybrid RRF alpha=0.25 transfer,11.271695940000654,fixed_transfer_from_finder
3,100,0.09333333333333334,0.28,0.28,0.22999999999999995,0.24285578521428747,Hybrid RRF alpha=0.25 transfer,11.271695940000654,fixed_transfer_from_finder
5,100,0.072,0.36,0.36,0.249,0.2764334348433819,Hybrid RRF alpha=0.25 transfer,11.271695940000654,fixed_transfer_from_finder
10,100,0.046,0.46,0.46,0.26360317460317456,0.3100356555743157,Hybrid RRF alpha=0.25 transfer,11.271695940000654,fixed_transfer_from_finder
1,100,0.19,0.19,0.19,0.19,0.19,Hybrid RRF nested-5-fold,11.285245793334676,5_fold_out_of_fold
3,100,0.08666666666666667,0.26,0.26,0.21999999999999997,0.23023719014285832,Hybrid RRF nested-5-fold,11.285245793334676,5_fold_out_of_fold
5,100,0.068,0.34,0.34,0.2385,0.2633766022635642,Hybrid RRF nested-5-fold,11.285245793334676,5_fold_out_of_fold
10,100,0.045,0.45,0.45,0.25406349206349205,0.29983513550341834,Hybrid RRF nested-5-fold,11.285245793334676,5_fold_out_of_fold
