method,k,n_queries,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,ndcg_at_k,latency_ms_per_query,split
BM25,1,1128,0.17553191489361702,0.1687352245862884,0.17553191489361702,0.17553191489361702,0.17553191489361702,0.18575533456069937,dev
BM25,3,1128,0.08481087470449172,0.24453309692671393,0.25354609929078015,0.20921985815602834,0.2144822955388537,0.18575533456069937,dev
BM25,5,1128,0.0574468085106383,0.27423167848699764,0.2828014184397163,0.21586879432624112,0.22697483383680728,0.18575533456069937,dev
BM25,10,1128,0.03546099290780142,0.33614066193853426,0.3448581560283688,0.22434671563660927,0.24762075444764395,0.18575533456069937,dev
Dense MiniLM,1,1128,0.11524822695035461,0.1099290780141844,0.11524822695035461,0.11524822695035461,0.11524822695035461,3.6347145719796465,dev
Dense MiniLM,3,1128,0.06412529550827423,0.18173758865248227,0.1879432624113475,0.14598108747044916,0.15268252323547454,3.6347145719796465,dev
Dense MiniLM,5,1128,0.04343971631205674,0.20463947990543735,0.2127659574468085,0.1516548463356974,0.16229677468567377,3.6347145719796465,dev
Dense MiniLM,10,1128,0.025975177304964542,0.24408983451536642,0.25443262411347517,0.15736976528199934,0.17540917745392412,3.6347145719796465,dev
Hybrid RRF alpha=0.25,1,1128,0.18351063829787234,0.17641843971631205,0.18351063829787234,0.18351063829787234,0.18351063829787234,3.8719213026477286,dev
Hybrid RRF alpha=0.25,3,1128,0.09072104018912529,0.26004728132387706,0.26773049645390073,0.21941489361702127,0.22652371950924927,3.8719213026477286,dev
Hybrid RRF alpha=0.25,5,1128,0.06453900709219859,0.30644208037825055,0.31382978723404253,0.2300531914893617,0.246050695267662,3.8719213026477286,dev
Hybrid RRF alpha=0.25,10,1128,0.037943262411347524,0.3596335697399527,0.36879432624113473,0.23734098840481815,0.26347003264172464,3.8719213026477286,dev
BM25,1,4575,0.17005464480874316,0.16473588342440804,0.17005464480874316,0.17005464480874316,0.17005464480874316,0.18575533456069937,test
BM25,3,4575,0.08531876138433515,0.24571948998178508,0.25311475409836065,0.20681238615664843,0.21409427083545604,0.18575533456069937,test
BM25,5,4575,0.06045901639344263,0.2887067395264116,0.2963934426229508,0.21663752276867032,0.23191062938581627,0.18575533456069937,test
BM25,10,4575,0.03530054644808743,0.33732240437158467,0.3453551912568306,0.22320791048659902,0.24779977930559438,0.18575533456069937,test
Dense MiniLM,1,4575,0.12393442622950819,0.11830601092896174,0.12393442622950819,0.12393442622950819,0.12393442622950819,3.6347145719796465,test
Dense MiniLM,3,4575,0.06258652094717668,0.1763934426229508,0.18382513661202185,0.1500910746812386,0.15413060938567344,3.6347145719796465,test
Dense MiniLM,5,4575,0.045071038251366116,0.21176684881602914,0.2194535519125683,0.15820036429872494,0.1687952106075245,3.6347145719796465,test
Dense MiniLM,10,4575,0.02649180327868853,0.24864116575591985,0.25726775956284154,0.1633255269320843,0.18097691298438603,3.6347145719796465,test
Hybrid RRF alpha=0.25,1,4575,0.16612021857923498,0.15954462659380694,0.16612021857923498,0.16612021857923498,0.16612021857923498,3.8719213026477286,test
Hybrid RRF alpha=0.25,3,4575,0.08961748633879782,0.25610200364298724,0.2644808743169399,0.20910746812386155,0.2180399523614828,3.8719213026477286,test
Hybrid RRF alpha=0.25,5,4575,0.0643497267759563,0.3056102003642987,0.31453551912568306,0.22050637522768668,0.23862419366787285,3.8719213026477286,test
Hybrid RRF alpha=0.25,10,4575,0.038885245901639345,0.3684043715846994,0.3785792349726776,0.22910052910052908,0.2592669541751705,3.8719213026477286,test
BM25,1,5703,0.1711379975451517,0.1655269156584254,0.1711379975451517,0.1711379975451517,0.1711379975451517,0.18575533456069937,all
BM25,3,5703,0.08521830615465543,0.24548483254427494,0.2532000701385236,0.2072885615757788,0.21417101848852155,0.18575533456069937,all
BM25,5,5703,0.059863229879011055,0.2858437079899468,0.293705067508329,0.21648547548074112,0.23093437524250884,0.18575533456069937,all
BM25,10,5703,0.035332281255479575,0.3370886667835642,0.3452568823426267,0.2234331554820771,0.2477643698649898,0.18575533456069937,all
Dense MiniLM,1,5703,0.12221637734525688,0.11664913203577065,0.12221637734525688,0.12221637734525688,0.12221637734525688,3.6347145719796465,all
Dense MiniLM,3,5703,0.0628908761470571,0.17745046466771874,0.1846396633350868,0.1492781576947805,0.15384419150430848,3.6347145719796465,all
Dense MiniLM,5,5703,0.04474837804664212,0.21035712198258225,0.2181308083464843,0.15690572213454906,0.16750988083024101,3.6347145719796465,all
Dense MiniLM,10,5703,0.026389619498509556,0.24774095505289612,0.25670699631772753,0.16214753304442941,0.17987566702991276,3.6347145719796465,all
Hybrid RRF alpha=0.25,1,5703,0.1695598807645099,0.16288210883160908,0.1695598807645099,0.1695598807645099,0.1695598807645099,3.8719213026477286,all
Hybrid RRF alpha=0.25,3,5703,0.08983575895727394,0.2568823426266877,0.26512361914781696,0.21114618037290311,0.21971796206561758,3.8719213026477286,all
Hybrid RRF alpha=0.25,5,5703,0.06438716465018413,0.3057747384417558,0.31439593196563215,0.22239464609269974,0.24009308614631616,3.8719213026477286,all
Hybrid RRF alpha=0.25,10,5703,0.038698930387515346,0.36666958910514935,0.3766438716465018,0.23073041479143533,0.26009828374035954,3.8719213026477286,all
